TIME,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
9190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
